Gene names;WT1 SN F;WT2 SN F;WT3 SN F;HET1 SN F;HET2 SN F;HET3 SN F;MUT1 SN F;MUT2 SN F;MUT3 SN F;WT1 SN M;WT2 SN M;WT3 SN M;HET1 SN M;HET2 SN M;HET3 SN M;MUT1 SN M;MUT2 SN M;MUT3 SN M; T-test Difference HET SN F vs WT SN F;-Log  T-test p-value HET SN F vs WT SN F; T-test q-value HET SN F vs WT SN F; T-test Difference MUT SN F vs WT SN F;-Log  T-test p-value MUT SN F vs WT SN F; T-test q-value MUT SN F vs WT SN F; T-test Difference HET SN M vs WT SN M;-Log  T-test p-value HET SN M vs WT SN M; T-test q-value HET SN M vs WT SN M; T-test Difference MUT SN M vs WT SN M;-Log  T-test p-value MUT SN M vs WT SN M; T-test q-value MUT SN M vs WT SN M; T-test significant;Peptides;Razor + unique peptides;Unique peptides;Sequence coverage [%];Unique + razor sequence coverage [%];Unique sequence coverage [%];Mol. weight [kDa];Q-value;Score;Intensity;MS/MS count;iBAQ;Protein IDs;Majority protein IDs;Protein names
Pcyt2;-0,668158531;-0,749025345;-0,650052547;-0,263315201;-0,390563965;-0,266879559;-0,44259119;-0,722298145;-0,293714046;-0,512696266;-0,554999828;-0,611320972;-0,973928452;-0,444830894;-0,620325565;-0,35355854;-0,473927498;-0,581088066;0,382159233;2,747165868;0,5075;0,20287768;0,717584864;0,519115722;-0,120022615;0,309554075;0,853588843;0,090147654;0,557806288;0,960131191;;7;7;7;22,3;22,3;22,3;45,234;0;10,52;326940000;8;15568000;"Q922E4;A2ABY3";"Q922E4;A2ABY3";Ethanolamine-phosphate cytidylyltransferase
Uqcc2;0,144904137;0,024884224;0,089807987;0,556781769;0,411196709;0,522687435;0,4642272;0,683712482;0,675618649;0,559831619;0,55115366;0,345537663;0,616086006;-0,062554359;0,292458057;0,516254425;0,600505829;0,537055969;0,410356522;2,733897217;0,492148148;0,521320661;2,547532275;0,259578947;-0,203511079;0,416235445;0,801103039;0,065764427;0,369491385;0,965025641;;3;3;3;36,8;36,8;36,8;16,32;0;20,859;409150000;4;68192000;"Q9CQY6;D3Z4C9;D3Z4D6";"Q9CQY6;D3Z4C9";Ubiquinol-cytochrome-c reductase complex assembly factor 2
Ppox;-0,875762939;-0,863204956;-0,874204159;-0,701370239;-0,589200974;-0,616978168;-1,130609035;-0,619336605;-0,93191576;-0,921339989;-0,626796246;-0,80347681;-0,767084122;-0,568226814;-1,107779026;-0,891969681;-1,067511559;-0,685109138;0,235207558;2,641946728;0,743371901;-0,022896449;0,052955745;0,958798946;-0,030492306;0,058882648;0,960778149;-0,097659111;0,281284912;0,959027083;;3;3;3;11,1;11,1;11,1;50,87;0;7,9418;65403000;4;2422300;"P51175;A0A0A6YX50";"P51175;A0A0A6YX50";Protoporphyrinogen oxidase
"Aarsd1;Gm27029";-4,941255569;-5,043446064;-5,430616856;-3,478923798;-3,765897751;-3,96742487;-4,472802639;-3,583290577;-4,31768465;-5,283720493;-4,199675083;-3,524590969;-4,409524918;-3,881671906;-4,420447826;-3,822482109;-4,08228302;-4,617295265;1,401024024;2,614883374;0,11;1,013846874;1,502347054;0,319727273;0,098780632;0,063318676;0,953067955;0,161975384;0,103493498;0,986266458;;1;1;1;2,7;2,7;2,7;44,97;0;2,5673;51166000;1;2436500;"Q3THG9;A2A4P3;A2A4P4";"Q3THG9;A2A4P3;A2A4P4";Alanyl-tRNA editing protein Aarsd1
Arf5;0,836737633;0,931753159;0,86923933;1,134888649;1,124702454;1,223001957;1,224690914;0,957339764;1,147264004;1,027170181;1,06345129;1,046068668;0,898676872;0,881595612;1,032814503;1,187253952;0,996464729;1,163225174;0,281620979;2,595176908;0,64775;0,23052152;1,284172718;0,384345679;-0,107867718;1,034929077;0,786774684;0,070084572;0,503159411;0,966127424;;10;4;3;71,7;41,7;33,9;20,529;0;24,039;829310000;8;75391000;P84084;P84084;ADP-ribosylation factor 5
Hexb;-2,858136177;-3,226222992;-2,956058979;-2,256459236;-2,264076233;-2,108620167;-2,600832462;-2,505668163;-2,583531857;-2,116597176;-2,323306561;-2,564095974;-2,022620201;-2,766482353;-2,37293005;-1,951477051;-1,97351265;-2,818125725;0,803754171;2,572262066;0,260571429;0,450128555;1,77504542;0,301132075;-0,052677631;0,073718786;0,952956466;0,086961428;0,099606263;0,986506273;;3;3;3;9,9;9,9;9,9;61,115;0;6,7493;109150000;3;4042700;P20060;P20060;Beta-hexosaminidase subunit beta
Nme1;1,101239204;0,9938097;1,154816151;1,861121178;1,569026947;1,689360142;1,469554424;1,438725948;1,761765003;1,718449593;1,552632809;1,173003674;1,385462761;0,987023354;1,109620571;1,718370438;1,704144478;1,494330406;0,623214404;2,51908848;0,404727273;0,47339344;1,855912572;0,286765432;-0,320659796;0,735441577;0,71693617;0,157586416;0,373185012;0,966877612;;9;3;3;71,7;22,4;22,4;17,208;0;6,7668;5189700000;8;518970000;"P15532;Q5NC80";"P15532;Q5NC80";"Nucleoside diphosphate kinase A;Nucleoside diphosphate kinase"
Kctd16;0,52461338;0,565076828;0,688595295;1,005364418;0,903407097;0,983840466;0,906591892;0,982454777;0,954704762;1,026238441;0,868391514;0,558676243;0,585130692;0,623583794;0,582282543;0,962109566;0,721705437;0,630549431;0,371442159;2,507789994;0,558536585;0,355155309;2,555990325;0,296179104;-0,220769723;0,733244476;0,744020806;-0,046313922;0,098060517;0,993889895;;8;8;8;18,7;18,7;18,7;48,972;0;16,753;1361200000;12;59184000;Q5DTY9;Q5DTY9;BTB/POZ domain-containing protein KCTD16
Ykt6;0,473617554;0,486870766;0,605475903;0,900191307;0,793801308;0,86162138;0,764566898;0,52955389;0,677660465;0,454376221;0,681519985;0,509227276;0,73568058;0,5741539;0,576861858;0,831096649;0,601644516;0,70915699;0,329883258;2,494027175;0,554622951;0,135272344;0,77532415;0,595271053;0,080524286;0,391407063;0,87022549;0,165591558;0,803627238;0,965265007;;4;4;4;28,3;28,3;28,3;22,314;0;18,187;687330000;7;49095000;Q9CQW1;Q9CQW1;Synaptobrevin homolog YKT6
Myrip;-3,133289337;-3,025904655;-3,048464298;-3,609008789;-3,393945694;-3,565348148;-3,137049198;-3,718213558;-2,97703886;-2,837288857;-3,014880657;-2,777608395;-4,36327076;-3,102412224;-3,754607677;-3,710021019;-2,910185814;-3,19975853;-0,453548114;2,459500556;0,482428571;-0,208214442;0,385179836;0,661038932;-0,863504251;1,09447822;0,667101124;-0,396729151;0,745011693;0,960306748;;1;1;1;1,4;1,4;1,4;94,923;0;3,2448;22018000;1;611620;"Q8K3I4;F7CFT8;A0A1L1SQQ9";"Q8K3I4;F7CFT8;A0A1L1SQQ9";Rab effector MyRIP
Ccdc53;-2,400411606;-2,374408722;-2,479790211;-2,07383728;-1,907679558;-1,830847263;-2,218673229;-2,690035343;-2,303235531;-2,564979553;-1,986945629;-2,315471172;-2,822500229;-2,178557396;-2,36574316;-2,078722954;-2,21504879;-2,253520966;0,480748812;2,445585116;0,514608696;0,014222145;0,032304203;0,972216063;-0,166468143;0,261045935;0,852930621;0,106701215;0,2394277;0,966035264;;1;1;1;7,2;7,2;7,2;21,092;0;2,6687;51694000;1;5169400;"Q9CR27;S4R1P7;G3UWG7;S4R287";"Q9CR27;S4R1P7;G3UWG7;S4R287";WASH complex subunit CCDC53
Gdpd1;0,951134682;0,970960617;1,04061842;1,293410301;1,207857132;1,200843334;1,07186079;0,962776661;1,076449871;1,092028618;1,07622385;1,124603748;0,977032661;0,991896629;1,136428356;1,0432024;1,013580322;1,165774345;0,246465683;2,442551354;0,754285714;0,049457868;0,464876552;0,835300604;-0,062499523;0,519967167;0,876120869;-0,02343305;0,183344038;0,992362772;;8;8;8;39,5;39,5;39,5;35,866;0;20,276;702210000;8;39011000;Q9CRY7;Q9CRY7;Glycerophosphodiester phosphodiesterase domain-containing protein 1
Ndufa5;2,431663513;2,675057411;2,470735073;3,087280273;2,961872101;3,109566212;3,082332134;3,129360676;3,181605816;3,19712925;3,086124897;2,698625088;2,847736359;2,54974556;2,606853008;2,985121727;3,043284416;3,071547508;0,52708753;2,40153864;0,505894737;0,605280876;2,771368117;0,358666667;-0,325848103;0,857951591;0,678219298;0,039358139;0,091535576;0,993108026;;10;10;10;65,5;65,5;65,5;13,36;0;52,349;9107100000;19;1821400000;"Q9CPP6;D3YTQ8";Q9CPP6;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
"Cnnm2;Cnnm1";-3,765731812;-3,777275085;-3,869904041;-4,543644905;NaN;-4,811418056;-4,122480869;-3,445585728;-3,563701153;-5,934469223;-4,865187168;-4,407673359;NaN;-4,060523987;NaN;-4,067396164;NaN;-3,717887878;-0,873227835;2,397354145;0,269;0,093714396;0,167249081;0,850180641;1,00858593;0;0,997634942;1,176467896;0,841654727;1;;5;5;5;6,7;6,7;6,7;96,703;0;11,416;140710000;5;3126800;"Q3TWN3;Q0GA42;A0A286YDL2;Q69ZF7";"Q3TWN3;Q0GA42;A0A286YDL2";"Metal transporter CNNM2;Metal transporter CNNM1"
Hmga1;-0,405848503;-0,582350731;0,218972683;-1,686788559;-1,716808319;-1,670561314;-1,729606152;-2,913071156;-1,704286098;-1,816364288;-2,374630451;-1,203446865;-0,819422722;-0,945870399;-1,241644382;-0,938087463;-1,118765831;-1,939328194;-1,434977214;2,382530426;0,272;-1,859245618;1,785495719;0,3375;0,7958347;1,036480601;0,686469565;0,466086706;0,436619856;0,968786325;;1;1;1;15;15;15;11,614;0,0010524;1,7305;169780000;3;28296000;"P17095;Q3TE85;A0A338P6F6";"P17095;Q3TE85;A0A338P6F6";High mobility group protein HMG-I/HMG-Y
Got1;4,017111778;4,075282097;4,045778751;4,42647171;4,26173687;4,407850742;4,352693081;4,033830166;4,30999136;4,36253643;4,26983881;4,016163349;4,021016121;4,030451775;4,205575466;4,366154671;4,227582932;4,241286278;0,319295565;2,366437907;0,636294118;0,186113993;0,853417443;0,501453617;-0,130498409;0,472684817;0,827520422;0,062161764;0,214626621;0,974502538;;21;21;21;64,6;64,6;64,6;46,247;0;165,8;28276000000;55;1178200000;"P05201;F7ALS6";P05201;Aspartate aminotransferase, cytoplasmic
Bpnt1;0,563153267;0,536828041;0,48367548;0,822016716;0,832082748;0,995589733;0,632077694;0,596168041;0,73999548;0,545060158;0,901170254;0,544215679;0,862999916;0,764159203;0,688431263;0,540628433;0,753811836;0,827960968;0,355344137;2,366096297;0,533357143;0,128194809;1,225618406;0,532624331;0,10838143;0,34816867;0,852186877;0,043985049;0,108272411;0,992252898;;9;9;9;47,1;47,1;47,1;34,973;0;34,287;1090500000;11;51929000;"A0A1B0GRV0;Q9Z0S1;D3Z0E6;D3Z5X0";"A0A1B0GRV0;Q9Z0S1;D3Z0E6";3(2),5-bisphosphate nucleotidase 1
Gde1;-2,539204597;-2,52391243;-2,540668964;-2,968746185;-2,782751083;-2,826151371;-2,784967899;-2,800611019;-2,308075428;-2,194581032;-2,395952702;-2,487904072;-1,853984833;-2,048493385;-2,5208745;-2,318213463;-2,057771683;-2,809902191;-0,324620883;2,343972811;0,62369697;-0,096622785;0,234793792;0,818015711;0,218361696;0,432413205;0,802317131;-0,035816511;0,05200126;0,990490165;;1;1;1;3,3;3,3;3,3;37,629;0;3,0482;134520000;1;7079800;"Q9JL56;D3Z3E2";"Q9JL56;D3Z3E2";Glycerophosphodiester phosphodiesterase 1
Tecpr1;0,938625336;0,878232956;0,902253628;1,259792328;1,111035347;1,158705235;1,098704815;1,130343914;1,253600597;1,139098167;1,227441311;0,983137608;1,041072845;0,920324326;0,929067135;1,096532822;1,320411682;0,905461311;0,27014033;2,334742866;0,677798165;0,254512469;2,140579195;0,359121951;-0,153070927;0,876472955;0,75095615;-0,009090424;0,021731029;0,989335213;;10;10;10;12;12;12;130,26;0;30,371;374960000;10;8521900;Q80VP0;Q80VP0;Tectonin beta-propeller repeat-containing protein 1
Arfgap1;2,525069237;2,436110497;2,426706791;2,682116508;2,633802414;2,659451962;2,703525066;2,72192049;2,737150669;2,74149704;2,67075491;2,497990131;2,370651245;2,281488419;2,476293087;2,665625572;2,666948318;2,502848625;0,19582812;2,331924539;0,818672727;0,258236567;2,851187148;0,327194444;-0,26060311;1,330599495;0,693112676;-0,024939855;0,098747403;0,992094898;;10;10;10;36,6;36,6;36,6;44,207;0;68,357;3566200000;22;209770000;"V9GWV1;V9GXM1;Q9EPJ9;Q3TGS9";"V9GWV1;V9GXM1;Q9EPJ9;Q3TGS9";ADP-ribosylation factor GTPase-activating protein 1
Usp39;-2,521789551;-2,690441132;-2,382417202;-3,486688614;-3,287366867;-3,131337643;-2,797990322;-2,934310436;-2,614715099;-3,355142593;-2,717543125;-2,128989697;-2,212094307;-1,982668877;-2,621219158;-2,873164177;-2,279085159;-3,281525612;-0,770248413;2,319092701;0,3604;-0,250789324;0,911338713;0,439124424;0,461897691;0,504750726;0,744963918;-0,077366511;0,058418344;0,994374423;;1;1;1;2,8;2,8;2,8;65,146;0,002584;1,5661;7258600;1;241950;Q3TIX9;Q3TIX9;U4/U6.U5 tri-snRNP-associated protein 2
A830018L16Rik;-4,425695419;NaN;-4,016045094;-2,998900414;-3,042856216;-2,87309885;-3,903673649;-3,088774204;-3,375141621;-2,816420555;-3,809089184;-4,009164333;-3,015727997;-4,287389755;-3,94176054;-4,068510056;-2,752380371;-3,095036507;1,249251763;2,311644521;0,28;0,765007099;0,948629831;0,351149502;-0,203401407;0,142483028;0,900111658;0,23958238;0,167411276;0,964822375;;1;1;1;2,4;2,4;2,4;51,086;0,0098449;1,0366;5278900;1;229520;"Q8BZJ8;B7ZN57;B2RQF6";"Q8BZJ8;B7ZN57;B2RQF6";Uncharacterized protein C8orf34 homolog
"Gabrb2;Gabrb1";0,95646286;0,857162476;0,870564938;1,24382019;1,109985352;1,240552425;1,38382864;1,015194416;1,261045933;1,241292;1,060901165;1,061744213;1,010647774;0,86593914;1,050706387;1,035199165;1,240392685;1,081241608;0,303389231;2,308338277;0,633317647;0,325292905;1,348873815;0,349377049;-0,145548026;0,820683677;0,764317647;-0,002367973;0,009019917;0,997395451;;5;5;3;12,9;12,9;7,8;59,196;0;12,021;1657100000;9;82854000;"P63137;P50571;A0A0G2JGS8";"P63137;P50571;A0A0G2JGS8";"Gamma-aminobutyric acid receptor subunit beta-2;Gamma-aminobutyric acid receptor subunit beta-1"
Grb2;1,983392715;1,979530334;2,102376461;2,452291489;2,308804512;2,324268818;2,326508045;2,390191555;2,261725903;2,34094429;2,308083057;1,974843502;2,233952522;2,049994469;2,023257732;2,450421333;2,455468178;2,303367615;0,340021769;2,300290804;0,608387097;0,304375331;2,289354712;0,325343284;-0,105555375;0,322285651;0,860361616;0,195128759;0,699790294;0,972158055;;13;13;13;71;71;71;25,238;0;38,537;3389600000;24;242110000;"Q60631;B1AT92;B1AT95";"Q60631;B1AT92";Growth factor receptor-bound protein 2
"Actc1;Acta1;Acta2;Actg2";3,058953285;3,286062241;3,125317097;3,621566772;3,510651588;3,57452631;3,512525082;3,498467922;3,557439327;3,693415642;3,455278873;3,107212543;3,521268845;3,06043148;3,365918636;3,539797783;3,607088089;3,531321526;0,412137349;2,278525196;0,579589744;0,366033236;2,200703459;0,2864;-0,102762699;0,179680633;0,900231717;0,14076678;0,338368023;0,960522427;;14;1;1;37,9;4,2;4,2;42,019;0;5,1658;51550000000;23;2577500000;"P68033;P68134;P62737;P63268;D3Z2K3;A0A494B9T3;D3YZY0;A0A1D5RM20";"P68033;P68134;P62737;P63268;D3Z2K3;A0A494B9T3;D3YZY0;A0A1D5RM20";"Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle"
Gnb5;0,01218605;0,217722893;0,156786442;0,531833649;0,531485558;0,441975117;0,527882099;0,464926243;0,765957355;0,483509064;0,456769466;0,197103977;0,360279083;0,213701248;0,222786427;0,200117111;0,441298485;0,420210838;0,372866313;2,271282682;0,527418182;0,457356771;1,847503559;0,285802198;-0,113538583;0,479085574;0,832386462;-0,025252024;0,074159337;0,990537634;;8;8;8;26,6;26,6;26,6;43,565;0;25,496;2162200000;12;120120000;P62881;P62881;Guanine nucleotide-binding protein subunit beta-5
Gas7;1,529842377;1,544342041;1,484920025;1,797904015;1,673461914;1,762814999;1,54135561;1,689305782;1,576411724;1,786584854;1,758591175;1,660730839;1,605202675;1,388593674;1,665969372;1,610533714;1,716342926;1,698834419;0,225025495;2,264907259;0,808641975;0,082656225;0,793824789;0,708058058;-0,182047049;0,920087744;0,73864682;-0,060065269;0,525494906;0,960217883;;10;10;10;28,9;28,9;28,9;47,261;0;36,237;939520000;11;46976000;"B1ATI9;Q3U432;F6QB26;Q60780;A0A6I8MWW1";"B1ATI9;Q3U432;F6QB26;Q60780";Growth arrest-specific protein 7
Tbc1d10b;1,969697952;1,96267128;1,902294636;2,146841049;2,080407143;2,092275143;2,152256489;1,898652554;2,013558865;2,146367073;2,032990932;1,827428341;1,955211639;1,931494713;2,088644505;2,044629097;2,048513412;2,050848007;0,161619822;2,262090677;0,843384615;0,076601346;0,428729145;0,781961588;-0,010478497;0,033587066;0,98583014;0,045734723;0,187168946;0,985804558;;13;13;13;24,2;24,2;24,2;87,274;0;100,32;1360600000;23;48594000;"Q8BHL3;A0A0U1RPN1";Q8BHL3;TBC1 domain family member 10B
Snap25;2,963410378;2,881871223;2,946085453;3,112166405;3,061070442;3,090792179;3,243154049;3,158109188;3,130120754;3,123850822;3,156115055;3,064280033;3,001790047;3,072407722;3,081439495;3,048428535;3,148117065;2,941846848;0,157553991;2,260157856;0,840860215;0,246672312;2,374120774;0,341649123;-0,062869549;0,787438852;0,858237045;-0,068617821;0,452277939;0,962315678;;13;13;13;71,4;71,4;71,4;23,315;0;84,041;34626000000;45;2663500000;"P60879;O09044;B0R029;E9Q8A1;B0R030;Q9D3L3";P60879;Synaptosomal-associated protein 25
Kcnma1;1,534430504;1,508350372;1,550260067;1,922883987;1,737692833;1,828939915;1,739438534;1,573256969;1,825127125;1,663552284;1,896729946;1,687624454;1,589681625;1,685274124;1,798507214;1,559692383;1,795427322;1,582476616;0,298825264;2,25883777;0,637892473;0,181593895;1,139606738;0,450078029;-0,058147907;0,239895798;0,909995257;-0,103436788;0,417785622;0,962025608;;12;12;12;15,6;15,6;15,6;134,39;0;44,562;1181400000;15;23629000;"Q08460;E3VRY9;A0A286YD35;J3QN27;E9Q9P4;A0A286YCW3;E3VRY6;E3VRZ4;A0A087WQ41;J3QMT8;A0A286YE30;A0A286YDR7;A0A087WQN5;A0A087WRS4;A0A286YDM6;A0A286YCP1;A0A286YCZ9;A0A286YDC1;A0A286YD59;A0A286YCQ2;A0A286YDU9;F7BHL0;A0A286YCF5;F6WSZ3;A0A286YCI9;F6ZSN2;F6XW53;F6V0P5;J3QP84;A0A286YDB5;A0A087WQE1;A0A1D5RMA3";"Q08460;E3VRY9;A0A286YD35;J3QN27;E9Q9P4;A0A286YCW3;E3VRY6;E3VRZ4;A0A087WQ41;J3QMT8;A0A286YE30;A0A286YDR7;A0A087WQN5;A0A087WRS4;A0A286YDM6;A0A286YCP1;A0A286YCZ9;A0A286YDC1;A0A286YD59;A0A286YCQ2;A0A286YDU9;F7BHL0;A0A286YCF5;F6WSZ3;A0A286YCI9;F6ZSN2;F6XW53;F6V0P5;J3QP84";Calcium-activated potassium channel subunit alpha-1
Camk1d;1,062389374;1,125275612;1,111617565;1,333991051;1,261953354;1,240799427;1,283749104;1,385679722;1,334164143;1,27324295;1,257769108;1,098543644;0,966011047;1,24857235;1,26505518;1,371909142;1,184244156;1,176998138;0,17915376;2,203615917;0,838112676;0,234770139;2,586243608;0,345653333;-0,049972375;0,16847447;0,926676259;0,034531911;0,15203934;0,993805853;;8;8;7;27;27;24,4;42,918;0;34,296;1610200000;8;89454000;"Q8BW96;D3Z368";Q8BW96;Calcium/calmodulin-dependent protein kinase type 1D
Pygb;4,18096447;4,159279823;4,158228397;4,491508484;4,346642494;4,368389606;4,42790556;4,218467236;4,351123333;4,389117241;4,357374668;4,201010227;4,213891029;4,100806236;4,232657909;4,377015114;4,431388855;4,265147209;0,236022631;2,17517158;0,804392157;0,166341146;1,266613936;0,453462626;-0,13338232;0,871288573;0,773223796;0,042016347;0,214828807;0,987645688;;37;37;30;51,1;51,1;41,9;96,729;0;285,43;16599000000;86;353170000;"Q8CI94;Q3UEJ6";Q8CI94;Glycogen phosphorylase, brain form
